skin,age,periode,content,buy,recommend,likes
"Oily, Medium Light, Neutral",19 - 24, 3 months - 6 months,"Aku udah lama pake produk hada labo, dari face wash dan tonernya yg untuk kulit berminyak. Akhirnya aku nyoba varian yg ini karna kulit aku dehidrasi jadi kayaknya bakal cocok. Dan ternyata Alhamdulillah cocok sesuai perkiraan aku beli ini juga karna harganya lebih murah daripada yg light lotion. Packagingnya sama aja kek semua produk hada labo yg lain. Teksturnya air bening lebih sedikit melembabkan dibanding yg light lotion tapi ga bikin greasy becek gitu juga dia juga meresap ga berat sampe berminyak", Shopee,recommends this product!,2
"Normal, Medium Light, Neutral",19 - 24, 3 months - 6 months,"Bener bikin kulit lembab dan jadi plumpy gituu. teksturnya ga terlalu cair tapi cepet ngeresap, gaada bau juga. cocok"" aja dikulit kombinasi kaya aku, oiya dia ga ngaruh buat jerawat ya. tapi kalo kulit kalian kering bgt, ini bisa jadi alternatif buat kalian", Hypermart,recommends this product!,0
"Dry, Medium, Neutral",19 - 24, More than 1 year,"Lotion dengan tekstur licin ini menyerap dan melembabkan kulit dengan baik! Bening gitu cairannya dan tidak berbau. Cocok untuk penggunaan sehari-hari. Ngga bikin beruntusan, kulit malah lebih halus, cocok banget buat kulit aku. Terkadang ku pakai di tangan dan bagian tubuh lain yang kering, hasilnya memuaskan karena kulitku jadi lembab, ngga bersisik, dan ngga sensitif. Good product!", Guardian,recommends this product!,0
"Combination, Medium, Warm",19 - 24, Less than 1 week,"ini favorit hydrating toner aku skincare basic gentle tpi bagus bnget bkin kulit lembab dan calming dan murah di kantong, gada campuran bahan kandungan yg keras cocok buat kulit sensitif super worth it buat di beli tpi aga susah buat dicari karna cpet bnget sold out", Shopee,recommends this product!,1
"Normal, Medium, Neutral",18 and Under, Less than 1 week,"beli ini biar samaan kaya sepupu + waktu itu lagi ada promo. pas aku coba ternyata enak banget buat muka, ngerasa lebih seger + lembab, padahal sebelumnya aku ngerasa kulitku kering banget. terus akhirnya suka deh", Shopee,recommends this product!,0
"Normal, Medium, Neutral",19 - 24, 1 month - 3 months,"nyoba ini karena disaranin sama kakak, emang waktu itu kulit lagi super kering dan kasar. akhirnya beli daaaaannn baru pake 3 kali waktu itu, kulit jadi lembaaaabb bangett dan jadi kenyel gituu. bener bener penyelamat kulit pas lagi kering bangettt", Shopee,recommends this product!,0
"Dry, Medium Light, Neutral",25 - 29, More than 1 year,"beli ini sebagai hydrating toner untuk dipakai setelah exfo toner somebymi. teksturnya enak, lembabin nya dapet banget dan harganya murah. cocok buat newbie, remaja, mahasiswa. cuma ga suka packagingnya", Shopee,recommends this product!,0
"Combination, Medium Dark, Neutral",30 - 34, Less than 1 week,"ini enak banget sih utk wajah ku. bbrp hari ini kulit wajahku dehidrasi, kering bgt, ngelupas dan berjerawat. pake hada labo ini dr pemakaian pertama aja udah kerasa lembab banget. dan lumayan bertahan lama.", Guardian,recommends this product!,0
"Combination, Medium, Warm","Combination, Medium, Warm", More than 1 year,"Bener bener produk andalan aku untuk toner. Karena kulitku kering dan toner ini holy grail bgt. Ngelembabin dan cocok untuk kulitku yg mayan sensi. Murah juga harganya, less than 50k. Sudah pake ini dr tahun 2016 and still counting. ", Guardian,recommends this product!,0
"Combination, Medium Dark, Warm",19 - 24, 1 month - 3 months,Baru pertama coba pakai hydrating toner. Langsung bener-bener kelihatan hasilnya di kulit wajahku yang terbilang kering dan sering dehidrasi ini. Tekstur kulit jadi lebih plumpy dan lebih keisi dengan kelembaban gitu deh. Penyerapannya juga cepat., Shopee,recommends this product!,5
"Dry, Medium Dark, Warm",19 - 24, 1 month - 3 months,"Kulit aku kering, sensitif, berminyak di T-Zone, setelah pake facial wah hadalabo, aku pakai lotionnya, dia bner2 melembabkan, walaupun ngga sejago facial washnya, tpi lotion ini lumayan lah, aku masukin daftar tetap skincare barengan facial washnya :)", Shopee,recommends this product!,0
"Combination, Medium, Warm",19 - 24, 1 week - 1 month,"Suka banget sama toner ini, hydrating toner yang affordable banget. Bener2 ngelembabin kulit dan bikin plumpy, menyeimbangkan PH kulit setelah cuci muka pake facial wash. No fragrance, no alcohol, no colorant. Biasanya aku pake dua layer, layer pertama itu sekitar 4 tetes, layer kedua 3 tetes. Aku pake dituangin ke telapak tangan ya, tanpa kapas.", Shopee,recommends this product!,0
"Oily, Medium Light, Neutral",40 - 44, 1 month - 3 months,"Toner wajib, ga bisa skip sama sekali, bantu mempersiapkan kulit wajahku sebelum di timpa skincare lain. cocok dikulitku yang oily dan acne prone tanpa membuat kulit wajahku bagai kilang wajah. Harga murah dan mudah di dapat", Shopee,recommends this product!,0
"Oily, Medium, Warm",25 - 29, 6 months - 1 year,Teksturnya ringan dan cepet meresap. Ngebantu banget buat melembabkan kulit. Untuk klaim melembutkannya di kulitku engga ngefek sama sekali sih. Harganya terjangkau banget dan isinya banyaaak jadi awet berbulan-bulan. Cuman kalau di kulitku finishnya agak mengkilap gitu jadi kurang suka karena kulitku oily., Traditional market,recommends this product!,0
"Normal, Medium, Neutral",19 - 24, 1 month - 3 months,"kayaknya ini toner sejuta umat hahaha. di aku cocok cocok aja sih. awal2 make jadi berminyak bgt padahal cuma pake 2 tetes. trs akhirnya cuma pakai 1 tetes. tp abis itu udh cukup lama makenya sekitar 2 mingguan, aku coba pake lagi 2 tetes, dan ga berminyakan kaya awal2!", Shopee,recommends this product!,0
"Combination, Medium Light, Cool",18 and Under, 1 week - 1 month,beli ini karena penasaran dan pengen coba serangkaiannya hadalabo. tapi sayangnya di aku ga cocok dan malah bikin jerawatan di bagian jidat. mungkin buat yang kulitnya sensitif to dry ini cocok karena ga ada wangi yang menyengat, Official Brand Store,doesn't recommend this product! ,0
"Combination, Medium, Neutral",19 - 24, 3 months - 6 months,"Seneng banget bisa dapetin dan cocok bgt sama hydrating toner yang harganyaa 50k an, dia sangat ngelembabin dan ga bikin efek aneh2 , kulitku sensitif kering dan pake ini bner bener ngebantu bgt,smoga harga nya ttp sgtu jan sampe naik karna review bagus bagus ya huhu:(", Shopee,recommends this product!,0
"Combination, Medium Dark, Warm",19 - 24, 3 months - 6 months,lotion yang cair banget tapi bisa hydrating tanpa bikin greasy. Teksturnya ringan jadi dilayer di skincare pagi oke banget. Murah banget juga! jadi gak merasa dosa kalo harus repurchase. Suka banget! tapi kalo kulit lagi super kering ini kurang nampol, Shopee,recommends this product!,0
"Dry, Medium Light, Warm",19 - 24, More than 1 year,"no words. udah pake puluhan botol kayanya aku since 2016:(( udah jatuh cinta banget sama hada labo ini... dulu pas jaman smp sma gitu dahi ku banyak banget bruntusan kecil-kecil, terus aku pakein ini dan alhamdulillah nya sejak pake hada labo strip orange ini gapernah bruntusan lagi sampe sekarang<33 dan ini super hydrating paraahh!! yang kulitnya kering pasti suka sih kalo cocok ya", Shopee,recommends this product!,6
"Dry, Medium, Warm",19 - 24, 3 months - 6 months,"Pertemuanku dengan hydrating toner ini terjadi karena salah beli maunya beli yg milk malah beli yang lotion. Tapi gak nyesel banget karena dia langsung menggantikan posisi toner lamaku karena WOW KAMU ADALAH APA YANG AKU CARI SELAMA INI???? Satu sih, hydrating-nya berasa abis minum 8 gelas sehari, kayak berasa banget muka kita dikasih minum??? Wow terima kasih sudah menjadi solusi kulit kering kerontongku HUHU", Shopee,recommends this product!,0
"Combination, Medium Dark, Warm",19 - 24, 1 month - 3 months,pertama make aku selalu tanemin mindset gak boleh expect banyak2. tapi hasilnya keren banget. dia no fragrance btw. pas diapply tuh kaya lembap terus aluuus gimana gitu. susah dijelasin. suka banget kayanya bakal repurchase sih. harganya juga affordable. aku pake yang buat dry to normal padahal kulitku sebenernya combi to oily. akhir2 ini kulit kering parah gara2 obat jerawat, Shopee,recommends this product!,14
"Dry, Medium, Warm",19 - 24, 6 months - 1 year,"Hydrating toner pertama aku yang gak neko-neko sama sekali. Ingredientsnya safe buat siapapun yang mau coba pake skincare pertama kali. Soothing, dengan tekstur watery yang lumayan lembabin. Cuman mungkin kekurangannya, buat yang sudah advance, hydratingnya dia gak buildable dan kurang bisa dilayer. Terus juga kayaknya agak comedogenic juga di aku. Gak ada cliam macem-macem selain hydrating sih, tapi dengan harganya yang murah, ya worth banget lah.", Borma,recommends this product!,1
"Combination, Medium Dark, Neutral",25 - 29, 1 month - 3 months,"My skin: oily+kombi. Skin concerns: dullness, redness, acne/blackheads, hyperpigmentation. $$$= manusiawi banget! Texture/consistency: watery kentel gak gitu runny. Effectiveness: toner kedua pengganti Pyunkang Yul essence toner (karena suka ketarik lama-lama pas nyerep dan pake skincare routine baru) dan setiap pakai ini berasa lebih supple/kenyel muka tapi kalo di tunggu nyerep dia gak bikin kerin keset tapi kayak rada dikit banget ketarik. Gak memberi efek negatif. Beli ini (yang warna orange) juga tujuannya buat hydrate aja sih buat gantiin sementara aja, sambil cari2 hydrating toner yg lain mau di coba. Sekarang pakai si Benton Green Tea Toner. Tapi tetep pakai ini kalo kayak abis mandi sore bekas olahraga. Conclusions: baik-baik aja, gak meredakan redness/calming. Cukup hidrasi aja. Ratings: 5/5 ðð¼ðð¼ðð¼ðð¼ðð¼ karena harganya sihhhhhh parahhhhhhh!! sama efeknya ga ada yang negatif.", Giant,recommends this product!,0
"Dry, Medium Light, Warm",19 - 24, Less than 1 week,"ini moisturizer yang BAGUS BANGET dengan harga yang sgt terjangkau. moisturizer yang wajib dimalam hari ini ð oke banget buat yg bermasalah sama kulit kering nan kusam ya, overall oke bole dicoba ini melembabkannya extra soalnya pdhl murahh", Shopee,recommends this product!,0
"Normal, Medium Light, Neutral",25 - 29, 3 months - 6 months,"Melembabkan kulit dan lumayan bisa mempersiapkan kulit wajah setelah itu pakai primer dan Makeup. Sebagai Moisturizer Lotion dia ga ada efek tone up sama sekali, meskipun lembabnya ga tahan lama maksimal dimuka aku maksimal 6 jam habis itu mesti cuci muka lalu apply lagi Moisturizer Lotion ini", Shopee,recommends this product!,0
"Normal, Medium Light, Neutral",19 - 24, 6 months - 1 year,"skin care yang aku pakek sampe sekarang bener - bener ngaruh banget, bagus banget, awet juga enggak boros, harganya terjangkau. ini cocok bgtt buat remaja gitu karena gak berat diwajah kalo untuk yang udah 30 an bisa pakek yang warna merah itu yang anti aging", Shopee,recommends this product!,0
"Dry, Medium, Warm",19 - 24, 1 month - 3 months,"dia ini melembabkan banget. Ada sensai licin licinya gitu enak deh pokoknya di kulit. Tapi kalo dibandingin sama yang premium sih lebih kentalan yang premium. Tapi yang ini juga gak kalah melembabkan. Harganya juga murah, cocok buat anak kos.", Shopee,recommends this product!,2
"Combination, Medium Dark, Neutral",19 - 24, 1 week - 1 month,"jatuh cinta dipemakaian pertama! untuk kulitku yg kadang kering ini ngaruh bgt, ngelembabin. apalagi kl dipake pas malem, paginya kulit jadi keliatan sehat lembab. harga juga affordable untuk toner SEBAGUS ini. aku kl pake ditangan terus ditepuk tepukin ke wajah. awet jugak sih. sudah pasti akan repurchase karna udah terlanjur cintakkk!", Shopee,recommends this product!,0
"Combination, Medium Light, Neutral",19 - 24, 1 week - 1 month,"akhir akhir ini kondisi kulit aku sering kering banget, kadang sampe ngelupas gitu huhu, akhirnya aku memutuskan untuk merubah skincare yang biasa aku pake, dan memutuskan beli ini, dan ini hidrasinya okeeee bangettt, cinta parahhh, kulitku udah ga kering lagii, jadi penasaran coba produk hadalabo lainnyaa", Shopee,recommends this product!,8
"Dry, Medium, Neutral",25 - 29, More than 1 year,"salah satu toner yang bener bener menghidrasi dan melembapkan disaat kulit sedang kering keringnya. teksturnya cair agak sedikiittt kental. sangat ringan diaplikasikan. kebetulan aku memang jarang menggunakan kapas, jadi aku langsung tuang tonernya dan aku tap tap ke muka. pertama kali pakai toner hadalabo gokujyun sekitar tahun 2018. awalnya temenku kasih saran untuk cobain rangkaian gokujyun yang dikhususkan tipe kulit kering. sebenernya all type skin bisa aja sih, balik lagi kebutuhan kulit kita apa. repurchase lebih dari 5 botol. bener bener aku pakai tiap hari pagi dan malam 1-3 layers, menyesuaikan kondisi kulit. on the way cobain hadalabo premium tapi tetep nyetok HL gokujyun strip orange ini ;D", Guardian,recommends this product!,2
"Dry, Medium Light, Cool",25 - 29, 1 week - 1 month,"suka banget sma teksturnya dia, bentuknya cair gitu tapi ga kyak air bgtu di pkek dan di tepuk tepuk, pertama pakek bner bener ga ada reaksi yang mengganggu banget, ga ada bruntusan, atau jerawat muncul, pokoknya cocok* aja pertama pkek, isi nya bnyak , udh sblum pakek dan cma berkurang dkit bngt", Shopee,recommends this product!,0
"Oily, Medium Light, Warm",35 - 39, 1 week - 1 month,"baru coba setelah cocok pake tonernya (hihihi kmn saja aku ini..) milk nya ngelembabin bgt tp cenderung berminyak,makanya ak pakenya dikit2 aja ud rata bgt, pastilah awet dan irit krn kemasannya gede haha, cm hadalabo milk strip pink ini susah bgt carinya,,", Shopee,recommends this product!,0
"Combination, Medium Light, Cool",19 - 24, 1 month - 3 months,"pas banyak orang keliatannya cocok, di kulit sensitif aku jadi zonk.. tekstur nya cair, efek lembab nya kerasa. jujur kaget sih, awal muncul jerawat setelah pake ini masih mikir positif, sampe udah mau abis breakout makin parah akhirnya ya menerima kenyataan emang ga jodoh tuh gabisa dipaksainð¥² repurchase? ga lah..", Guardian,doesn't recommend this product! ,0
"Oily, Medium, Warm",18 and Under, Less than 1 week,"OMG I Very very late to try this produce . baru nyoba 3 hari yg lalu dan ternyata sangat ngebantu buat hidrasi ð­, hadalabo ini bener bener bagus dan hidrasinya lebih baik dibanding n pure menurutku ,harganya juga lebih murce", Dan dan,recommends this product!,1
"Combination, Medium Light, Warm",19 - 24, 6 months - 1 year,"I tried this product when i was 17 (now i'm 21) and i like it SO MUCH! Menurutku produk Hada Labo Gokujyun Lotion ini cocok untuk dicoba oleh pemula yang ingin pake toner hyaluronic tapi takut dan bingung, karena selain harganya terjangkau (30-50rb untuk 100ml) dan mudah ditemukan dimana-mana, produk ini memberikan efek yang oke juga. Aku gak pernah beruntusan atau makin komedoan pake ini, malah bener-bener mempersiapkan kulit wajahku untuk dipakein skincare setelahnya. Teksturnya cukup light, kadang di mukaku masih agak kurang bisa menghidrasi kalo kulitku lagi cukup kering. Tapi untuk daily basis ini oke banget dan cepet nyerep tapi tetep ngelembabin. Plus, gak bikin kulitku jadi lebih berminyak. Recommended!", Indomaret,recommends this product!,0
